dwr,dissim,leven
0.068747,-0.3032,-0.81682
0.082949,-0.3227,-0.65943
0.3602,-0.46945,-0.90379
-0.52218,-0.63891,-0.004623
0.072155,-0.15887,-0.71421
0.049016,-0.1896,-0.71692
-0.061692,-0.091755,-0.71351
0.64884,-0.44175,-0.91699
-0.081681,-0.06955,-0.57462
0.30395,-0.09366,-0.6291
-0.065385,-0.62151,-0.84325
-0.15449,0.17342,-0.38571
-0.038074,0.0071949,-0.37578
0.014099,0.24629,0.014982
-0.15212,-0.32095,-0.64324
0.16325,0.28893,0.50173
-0.23792,0.10427,-0.3235
-0.067493,-0.029531,-0.31695
-0.00074935,0.1145,-0.28141
-0.16515,0.34202,-0.1168
-0.063862,0.2286,-0.1558
-0.20724,0.016942,-0.2536
-0.30572,0.38399,0.045423
-0.06029,-0.047456,-0.56786
-0.30504,-0.11865,-0.60862
-0.02439,0.20638,0.28084
-0.032724,0.2689,0.64587
-0.15533,0.47589,0.47207
0.0029266,-0.06376,-0.59525
-0.045049,0.51625,0.31685
-0.21399,0.44918,0.73214
-0.07678,0.25163,0.42386
-0.085876,0.079979,-0.51755
0.083663,0.08206,0.46994
-0.14494,0.41992,0.54047
-0.20563,0.43224,0.10529
-0.11195,0.2995,0.26371
-0.055464,-0.095344,-0.54759
-0.2303,0.14968,-0.3915
-0.022308,-0.074483,-0.65495
-0.087327,0.42197,0.32987
-0.092075,0.25036,0.11762
-0.24271,0.38716,0.85477
-0.14059,0.12668,-0.41838
-0.03737,0.23138,-0.29596
-0.026495,0.55485,0.78355
-0.15216,0.20743,0.18681
-0.038064,0.1187,-0.53975
-0.17497,-0.2466,-0.76029
0.25708,-0.91589,-1.0264
-0.081695,-0.27334,-0.66606
0.31403,-0.66769,-0.56817
0.00087584,-0.35627,-0.65649
-0.20692,0.40299,0.99982
-0.056381,-0.10399,-0.7759
-0.014943,0.4573,0.078425
0.14075,0.14845,0.025989
-0.24321,0.60118,0.83322
0.022783,0.193,-0.18948
-0.28152,-0.33339,-0.45407
0.10306,-0.66802,-1.0078
-0.047883,-0.20613,-0.69916
-0.16268,0.51118,1.3915
0.0042592,0.36867,0.088985
-0.066297,-0.032457,0.34647
0.034001,-0.35584,-0.55979
0.0065261,0.013482,-0.81733
-0.11017,0.19708,-0.11158
0.064657,-0.29782,-0.69626
